model,f1,precision,recall,accuracy
gradient_boosting,0.4050322184719239,0.2924883669399512,0.6583541147132169,0.8707333333333334
lightgbm,0.3898569202436606,0.27225959635931934,0.686284289276808,0.8564333333333334
xgboost,0.38290549261436974,0.26871980676328505,0.6658354114713217,0.8565666666666667
random_forest,0.34962266485215887,0.23247778874629813,0.7047381546134663,0.8247666666666666
logistic_regression,0.29977316349677197,0.23054213633923779,0.428428927680798,0.8662333333333333
decision_tree,0.2663786897048236,0.2567067530064755,0.27680798004987534,0.8981
knn,0.26457234016443737,0.17545572916666666,0.5376558603491272,0.8002333333333334
